Year,Production (Metric Tons),avg_yield,Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2018,9240.0,20.0,462.0,1452,2/28/2018,0.785134342,0.073939363,0.545447504,-1.548977181,39.81,11.888214285714286
2018,9240.0,20.0,462.0,1452,3/31/2018,1.1213190649810865,0.4746385242552726,0.9346431655232208,-1.467183205,74.773,12.081612903225803
2018,9240.0,20.0,462.0,1452,4/30/2018,1.0490322570995938,0.717224919,0.8401926940168479,-0.17489993,233.273,12.288333333333332
2018,9240.0,20.0,462.0,1452,5/31/2018,0.4794245107693305,0.7380038793898123,0.6508202844242019,0.6078542647371596,435.68,12.462258064516128
2018,9240.0,20.0,462.0,1452,6/30/2018,0.2101875414638242,0.9114568686585286,0.6609096692340344,0.1382836035153008,136.546,12.55
2018,9240.0,20.0,462.0,1452,7/31/2018,0.2242041610707635,0.9663246509782248,0.6149888243519009,-0.387982777,52.579,12.508064516129032
2018,9240.0,20.0,462.0,1452,8/31/2018,0.1803862094658893,0.6254364292113399,0.5056085778154016,-0.209623904,171.433,12.358064516129032
2018,9240.0,20.0,462.0,1452,9/30/2018,0.5835369887638353,0.4066732713173265,0.6375249268710592,-0.793921541,162.533,12.161666666666669
2018,9240.0,20.0,462.0,1452,10/31/2018,0.3202961602042605,0.6158788155169406,0.4405461897893805,1.0240249686596476,438.647,11.958064516129031
2018,9240.0,20.0,462.0,1452,11/30/2018,0.3356965045987217,0.4417886520019327,0.4416777095811374,0.6517977552134471,345.731,11.784
2018,9240.0,20.0,462.0,1452,12/31/2018,0.3095338563013086,0.2601231946698806,0.3622827375261953,0.027541699,110.101,11.696129032258064
2019,9023.0,28.0,472.0,1171,1/31/2019,0.4632810549149034,-0.209261833,0.335880609,-1.122743787,8.597999999999999,11.740967741935483
2019,9023.0,28.0,472.0,1171,2/28/2019,0.7093863921242346,0.3173171686823929,0.671766871,-0.699002986,75.806,11.88642857142857
2019,9023.0,28.0,472.0,1171,3/31/2019,1.436500822138954,0.3440178037651573,1.076083139492832,-2.71181795,26.856,12.08
2019,9023.0,28.0,472.0,1171,4/30/2019,1.3477118149396028,0.7479508773458349,1.118860873842308,-1.056354651,210.434,12.286333333333332
2019,9023.0,28.0,472.0,1171,5/31/2019,0.9814091142427152,0.7911017332475834,1.1458601933178398,-1.129206065,28.534,12.46032258064516
2019,9023.0,28.0,472.0,1171,6/30/2019,0.6629730413808587,1.0266792115298904,1.017526990269413,-0.833987664,80.007,12.549666666666669
2019,9023.0,28.0,472.0,1171,7/31/2019,0.688520701,0.6392418712143605,0.8988117054509197,-1.226140235,114.699,12.508709677419354
2019,9023.0,28.0,472.0,1171,8/31/2019,0.3118400642805121,0.8027832610962927,0.675336547,-0.278770278,156.69899999999998,12.359354838709676
2019,9023.0,28.0,472.0,1171,9/30/2019,0.4135438361634052,0.4845855222112952,0.6092683631824622,-0.12748835,110.185,12.163
2019,9023.0,28.0,472.0,1171,10/31/2019,0.2887779844884736,0.4183547991660359,0.3349376758920704,1.201737613968164,482.687,11.959354838709675
2019,9023.0,28.0,472.0,1171,11/30/2019,0.5732103019236223,0.5153114803103239,0.542037229,0.4554737492326204,193.428,11.785
2019,9023.0,28.0,472.0,1171,12/31/2019,0.2803218885647252,0.4151689279345703,0.4160299276346473,0.3984764571736716,232.098,11.696451612903225
2020,15217.0,17.0,1251.0,3233,1/31/2020,0.6962080608144975,0.1305644312569208,0.5659563000424347,-1.225494007,28.675,11.74
2020,15217.0,17.0,1251.0,3233,2/29/2020,0.972581904,0.4055380758210567,0.8218813655860703,-2.245397463,7.122,11.888275862068966
2020,15217.0,17.0,1251.0,3233,3/31/2020,1.520293045383361,0.6849060255320423,1.2806996351688698,-2.921841985,60.023,12.08548387096774
